index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
1205,Uno-X Åmot,0,0,"Lilleåsgata 5, 3340 Åmot","61.261177950000004, 11.605205608876366",,,,,,,2022-02-24 01:39:34.145351,00.00
1206,Uno-X Vikersund,0,0,"Idrettsveien 2, 3370 Vikersund","59.969149, 9.9982696",,,,,,,2022-02-24 01:47:39.523915,00.00
1207,Uno-X Liertoppen,0,0,"Drammensveien 203, 3420 Lierskogen","59.819933162914964, 10.330658362914964",,,,,,,2022-02-24 02:30:47.349365,00.00
1208,Uno-X Slemmestad,0,0,"Eternitveien 1, 3470 Slemmestad","59.7805524, 10.4955482",,,,,,,2022-02-24 01:39:06.921160,00.00
1209,Uno-X Tofte,0,0,"Østre strandvei 1, 3482 Tofte","59.5425226, 10.5604528",,,,,,,2022-02-24 01:39:34.145351,00.00
1210,Uno-X Nordsiden,0,90825474,"Ullerålsgata 2, 3513 Hønefoss","60.1692786, 10.2490896",,,,,,,2022-02-24 01:47:39.523915,00.00
1211,Kim Fredrik Tangen,0,0,"Klokkerbakken 5 B, 3520 Jevnaker","60.28282773421807, 10.408731140713233",,,,,,,2022-02-24 02:30:47.349365,00.00
1212,Uno-X Geilo,0,0,"Kyrkjevegen 1, 3580 Geilo","60.5345261, 8.2063719",,,,,,,2022-02-24 01:39:06.921160,00.00
1213,Uno-X Kongsberg,0,0,"Sandsværveien 223, 3615 Kongsberg","59.64216811902407, 9.642222799591378",,,,,,,2022-02-24 01:39:06.921160,00.00
1214,Uno-X Notodden,0,0,"Heddalsvegen 49, 3674 Notodden","59.6871024, 9.150808170862877",,,,,,,2022-02-24 01:39:34.145351,00.00
1215,Uno-X Falkum,0,0,"Hesselbergs gate 32, 3722 Skien","59.26644155567983, 9.5312887032173",,,,,,,2022-02-24 01:47:39.523915,00.00
1216,Uno-X Bøleveien,0,0,"Bølevegen 63 B, 3724 Skien","59.26642707502189, 9.531274222559357",,,,,,,2022-02-24 02:30:47.349365,00.00
1217,Uno-X Gråtenmoen,0,0,"Porsgrunnsvegen 48, 3733 Skien","59.26640170354545, 9.531248851082916",,,,,,,2022-02-24 01:39:06.921160,00.00
1218,Uno-X Kjørbekk,0,0,"Kjørbekkdalen 19, 3735 Skien","59.266506602420755, 9.531353749958223",,,,,,,2022-02-24 01:39:34.145351,00.00
1219,Uno-X Tollnes,0,0,"Leirvollen 4, 3736 Skien","59.2662883, 9.531135447537467",,,,,,,2022-02-24 01:47:39.523915,00.00
1220,Uno-X Vallermyrene,0,0,"Kjølnes ring 2, 3918 Porsgrunn","59.14084690904787, 9.656337409047868",,,,,,,2022-02-24 02:30:47.349365,00.00
1221,Uno-X Vestsiden,0,0,"Smedgata 6 /8, 3919 Porsgrunn","59.14089314402558, 9.656383644025583",,,,,,,2022-02-24 01:39:06.921160,00.00
1222,Uno-X Herøya,0,0,"Hydrovegen 75, 3936 Porsgrunn","59.140759, 9.6562495",,,,,,,2022-02-24 01:39:34.145351,00.00
1223,Uno-X Madlaveien,0,0,"Madlaveien 77 /79, 4009 Stavanger","59.1022184555387, 5.7128169128144",,,,,,,2022-02-24 01:47:39.523915,00.00
1224,Uno-X Mariero,0,0,"Breidablikkveien 2 /4, 4017 Stavanger","59.10222937464614, 5.712827831921844",,,,,,,2022-02-24 02:30:47.349365,00.00
1225,Uno-X Tasta,0,0,"Randabergveien 37 /39, 4025 Stavanger","59.10213134487913, 5.712729802154841",,,,,,,2022-02-24 01:39:06.921160,00.00
1226,Uno-X Forus,0,0,"Traktorveien 20, 4033 Stavanger","59.1020129, 5.712611357275702",,,,,,,2022-02-24 01:39:34.145351,00.00
1227,Uno-X Sola,0,0,"Solbergvegen 20, 4051 Sola","58.882082249999996, 5.356254245388384",,,,,,,2022-02-24 01:47:39.523915,00.00
1228,Uno-X Randaberg,0,0,"Randabergveien 300 A, 4073 Randaberg","59.021066649999995, 5.564876566360093",,,,,,,2022-02-24 02:30:47.349365,00.00
1229,Uno-X Tau,0,0,"Ryfylkevegen 1986, 4120 Tau","46.5944159, 24.1541881",,,,,,,2022-02-24 01:39:06.921160,00.00
1230,Uno-X Avaldsnes,0,0,"Øygarden 1, 4262 Avaldsnes","59.3559274, 5.278484",,,,,,,2022-02-24 01:39:34.145351,00.00
1231,Uno-X Forussletta,0,0,"Porsmyrveien 3, 4314 Sandnes","58.85207808998816, 5.737286289988163",,,,,,,2022-02-24 01:47:39.523915,00.00
1232,Uno-X Lura,0,0,"Gamleveien 2, 4315 Sandnes","58.8517825, 5.7369907",,,,,,,2022-02-24 02:30:47.349365,00.00
1233,Uno-X Kongeparken,0,0,"Kongsgata 12, 4331 Ålgård","58.7678685, 5.8492082",,,,,,,2022-02-24 01:39:06.921160,00.00
1234,Uno-X Bryne,0,0,"Jærvegen 150, 4340 Bryne","58.73351456147696, 5.650556061476953",,,,,,,2021-12-28 14:39:00.282380,00.00
1235,Uno-X Klepp,0,0,"Solavegen 29, 4351 Kleppe","58.7742219, 5.6293516",,,,,,,2022-02-24 01:39:06.921160,00.00
1236,Uno-X Egersund,0,0,"Gamle Sokndalsveien 53, 4372 Egersund","58.4518952, 5.9999963",,,,,,,2022-02-24 01:39:34.145351,00.00
1237,Uno-X Flekkefjord,0,0,"Trøngsla 2, 4405 Flekkefjord","58.294935699999996, 6.612962604643913",,,,,,,2022-02-24 01:47:39.523915,00.00
1238,Uno-X Kvinesdal,0,0,"Austerdalsvegen 3 A, 4480 Kvinesdal","58.320726048759234, 6.965872171426058",,,,,,,2022-02-24 02:30:47.349365,00.00
1239,Uno-X Mandal,0,0,"Marnaveien 16, 4517 Mandal","58.02940244747349, 7.461427635394819",,,,,,,2022-02-24 01:39:06.921160,00.00
1240,Uno-X Lyngdal,0,0,"Fiboveien 4, 4580 Lyngdal","58.1554572836842, 7.101360113496417",,,,,,,2022-02-24 01:39:34.145351,00.00
1241,Uno-X Skibåsen,0,0,"Skibåsen 41, 4636 Kristiansand S","58.18012012843266, 8.126849223683195",,,,,,,2022-02-24 01:47:39.523915,00.00
1242,Uno-X Sørlandsparken,0,0,"Barstølveien 3 C, 4636 Kristiansand","58.16847683523302, 8.015687773800714",,,,,,,2022-02-24 02:30:47.349365,00.00
1243,Uno-X Stemmen,0,0,"Setesdalsvegen 731, Vehus, 4715 Øvrebø","58.29333091263836, 7.7882685126383615",,,,,,,2022-02-24 01:39:06.921160,00.00
1244,Uno-X Nedenes,0,0,"Vesterveien 737, Nedenes, 4823 Nedenes","58.4130751, 8.6974762",,,,,,,2022-02-24 01:39:34.145351,00.00
1245,Uno-X Arendal,0,37025428,"Strømsbuveien 61, 4836 Arendal","58.459947341230446, 8.766908841230444",,,,,,,2022-02-24 01:47:39.523915,00.00
1246,Smart Arendal Shell,0,0,"Vesterveien 50, 4839 Arendal","58.45991573286479, 8.76687723286479",,,,,,,2022-02-24 02:30:47.349365,00.00
1247,Uno-X Torsbudalen,0,0,"Molandsveien 60, 4846 Arendal","58.46006831563068, 8.767029815630675",,,,,,,2022-02-24 01:39:06.921160,00.00
1248,Uno-X Grimstad,0,0,"Storgaten 95, 4877 Grimstad","58.2839967, 8.712829118742853",,,,,,,2022-02-24 01:39:34.145351,00.00
1249,Uno-X Fjøsanger,0,0,"Straumeveien 3, 5073 Bergen","60.3943055, 5.3259192",,,,,,,2022-02-24 01:47:39.523915,00.00
1250,Uno-X Fyllingsdalen,0,0,"Dag Hammarskjölds vei 1, 5144 Fyllingsdalen","60.35319820950401, 5.295098687313276",,,,,,,2022-02-24 02:30:47.349365,00.00
1251,Uno-X Os,0,0,"Industrivegen 1, 5210 Os","43.3890851, -0.6150563",,,,,,,2022-02-24 01:39:06.921160,00.00
1252,Uno-X Kokstad,0,0,"Kokstaddalen 2, 5257 Kokstad","60.29258631832501, 5.2601412841275526",,,,,,,2022-02-24 01:39:06.921160,00.00
1253,Uno-X Garnesveien,0,0,"Garnesvegen 7, 5260 Indre Arna","59.90015027035563, 17.601393106417884",,,,,,,2022-02-24 01:39:34.145351,00.00
1254,Uno-X Hauglandshella,0,0,"Ravnangervegen 384, 5310 Hauglandshella","60.4460889, 5.1554333",,,,,,,2022-02-24 01:47:39.523915,00.00
1255,Uno-X Fitjar,0,0,"Fitjarsjøen 73, Fitjar Sentrum, 5419 Fitjar","59.92056426280346, 5.3306324088479595",,,,,,,2022-02-24 02:30:47.349365,00.00
1256,Uno-X Gåseid,0,0,"Lerstadvegen 2, 6015 Ålesund","62.4711397, 6.1551776",,,,,,,2022-02-24 01:39:06.921160,00.00
1257,Uno-X Valderøya,0,0,"Valderøyvegen 1166, 6050 Valderøya","62.512911849999995, 6.113973294890814",,,,,,,2022-02-24 01:39:34.145351,00.00
1258,Uno-X Ulsteinvik,0,0,"Glopen 1, 6065 Ulsteinvik","62.3432661, 5.8483848",,,,,,,2022-02-24 01:47:39.523915,00.00
1259,Uno-X Moldegård,0,0,"Fannestrandvegen 53, 6415 Molde","62.739515702666765, 7.185368736169042",,,,,,,2022-02-24 02:30:47.349365,00.00
1260,Uno-X Sunndalsøra,0,0,"Sunndalsvegen 2, 6600 Sunndalsøra","62.67522972791819, 8.563293327918194",,,,,,,2022-02-24 01:39:06.921160,00.00
1261,Best Ekspress Førde,0,0,"Kronborgvegen 34, 6813 Førde","61.4521316, 5.8572636",,,,,,,2022-02-24 01:39:34.145351,00.00
1262,MH24 Florø,0,0,"Markegata 58, 6900 Florø","61.601033872769264, 5.040759178947426",,,,,,,2022-02-24 01:47:39.523915,00.00
1263,Uno-X Munkvoll,0,0,"Munkvollvegen 76 A, 7022 Trondheim","63.40225946959081, 10.357227874932368",,,,,,,2022-02-24 02:30:47.349365,00.00
1264,Uno-X Sluppen,0,0,"Bratsbergvegen 23, 7037 Trondheim","63.43076957653989, 10.395396676539889",,,,,,,2022-02-24 01:39:06.921160,00.00
1265,Uno-X Moholt,0,0,"Brøsetvegen 177, 7050 Trondheim","63.4305658, 10.3951929",,,,,,,2022-02-24 01:39:34.145351,00.00
1266,Uno-X Heimdal,0,0,"Heimdalsvegen 3, 7080 Heimdal","63.3508348, 10.357723",,,,,,,2022-02-24 01:47:39.523915,00.00
1267,Uno-X Leksvik,0,0,"Strandveien 75, 7120 Leksvik","63.6736556, 10.626493",,,,,,,2022-02-24 02:30:47.349365,00.00
1268,Uno-X Orkanger,0,0,"Mælaveien 2, 7300 Orkanger","63.3050275, 9.8497373",,,,,,,2022-02-24 01:39:06.921160,00.00
1269,Uno-X Hell,0,0,"Sandfærhus 24, Hellsenteret, 7502 Stjørdal","63.46998008169989, 10.92321768169989",,,,,,,2022-02-24 01:39:06.921160,00.00
1270,Uno-X Stjørdal,0,0,"Havnegata 11, 7503 Stjørdal","63.4698298, 10.9230674",,,,,,,2022-02-24 01:39:34.145351,00.00
1271,Uno-X Vikhammer,0,0,"Vikhammerløkka 1, 7560 Vikhammer","63.4371564, 10.6246029",,,,,,,2022-02-24 01:47:39.523915,00.00
1272,Uno-X Levanger,0,0,"Helge Ingstads veg 2, 7600 Levanger","49.44859818100436, 1.123623303771626",,,,,,,2022-02-24 02:30:47.349365,00.00
1273,Uno-X Namsos,0,0,"Klingavegen 10, Østre Byområde, 7800 Namsos","64.46602826008116, 11.500830132122324",,,,,,,2022-02-24 01:39:06.921160,00.00
1274,Uno-X Ullvaren,0,0,"Th. Sommerschields gate 5, 7800 Namsos","64.46946460498822, 11.487490137360762",,,,,,,2022-02-24 01:39:34.145351,00.00
1275,Esso Fauske,0,0,"Storgaten 57, 8200 Fauske","67.25915780610376, 15.392553304291516",,,,,,,2022-02-24 01:47:39.523915,00.00
1276,Uno-X Narvik,0,0,"Ankenesveien 10, 8520 Ankenes","68.4165582, 17.3903451",,,,,,,2022-02-24 02:30:47.349365,00.00
1277,Uno-X Ranenget,0,0,"Ranenget 25 A, 8626 Mo i Rana","38.7604815, -92.5617875",,,,,,,2022-02-24 01:39:06.921160,00.00
1278,Uno-X Vefsnvegen,0,0,"Vefsnvegen 3 /9, 8656 Mosjøen","65.83788883178123, 13.19455373178122",,,,,,,2022-02-24 01:39:34.145351,00.00
1279,Uno-X Sandnessjøen,0,0,"Novikveien 109, 8802 Sandnessjøen","66.0222279, 12.6364387",,,,,,,2022-02-24 01:47:39.523915,00.00
1280,Uno-X Brønnøysund,0,0,"Sømnaveien 139, 8900 Brønnøysund","65.4737042, 12.2111915",,,,,,,2022-02-24 02:30:47.349365,00.00
1281,Uno-X Tromsdalen,0,0,"Solstrandvegen 47, 9020 Tromsdalen","69.6453264, 18.9940426",,,,,,,2022-02-24 01:39:06.921160,00.00
1282,Uno-X Harstad,0,0,"Bårnakkveien 1 A, 9406 Harstad","68.92973835000001, 16.520913478350344",,,,,,,2022-02-24 01:39:34.145351,00.00
1283,Uno-X Alta,0,0,"Bjørn Wirkolas vei 15, 9510 Alta","49.97172155521719, 5.926158405180108",,,,,,,2022-02-24 01:47:39.523915,00.00
1284,Uno-X Linderud Sør,0,0,"Trondheimsveien 320, 0593 Oslo","59.94440441284439, 10.833878418819681",,,,,,,2022-02-24 02:30:47.349365,00.00
1285,Uno-X Drøbak City,0,69382530,"Holterveien 3, 1448 Drøbak","59.66348222323987, 10.629635023239874",,,,,,,2022-02-24 01:39:06.921160,00.00
1286,Esso Rolvsøy,0,0,"Rådalsveien 1 A, 1663 Rolvsøy","59.2592653, 10.9987661",,,,,,,2022-02-24 01:39:06.921160,00.00
1287,Uno-X Buskerud Storsenter,0,0,"Sandsgata 24, 3055 Krokstadelva","59.80790655, 10.02124953059656",,,,,,,2022-02-24 01:39:34.145351,00.00
1288,Uno-X Grøm Grimstad,0,55181140,"Lillesandsveien 47, 4877 Grimstad","58.34022343411572, 8.576026739213157",,,,,,,2022-02-24 01:47:39.523915,00.00
1289,Yx 7-Eleven Nyborg,0,0,"Åsamyrane 167, 5131 Nyborg","55.3098281, 10.7976604",,,,,,,2022-02-24 02:30:47.349365,00.00
1290,Uno-X Kongens Plass,0,0,"Kongens plass 1, 6509 Kristiansund N","63.1150646, 7.7332899",,,,,,,2022-02-24 01:39:06.921160,00.00
1291,Uno-X Østre Rosten,0,0,"Østre Rosten 8, 7075 Tiller","63.3557457, 10.3791619",,,,,,,2022-02-24 01:39:34.145351,00.00
1292,Uno-X Sørsia Steinkjer,0,0,"Fjordgata 2, 7714 Steinkjer","64.0185782, 11.4937998",,,,,,,2022-02-24 01:47:39.523915,00.00
1293,Uno-X Stille Dal,0,0,"Sneveien 2, 8072 Bodø","67.28437359555275, 14.383009395552744",,,,,,,2022-02-24 02:30:47.349365,00.00
1294,Uno-X Drøbak 7-Eleven,0,0,"Sogstiveien 2, 1446 Drøbak","59.6632937, 10.6294465",,,,,,,2022-02-24 01:39:06.921160,00.00
1295,Uno-X Olav V Gate,0,0,"Jordbruksveien 50, 8008 Bodø","67.28420510122211, 14.382840901222112",,,,,,,2022-02-24 01:39:34.145351,00.00
1296,Uno-X Dokka v. Rema 1000,0,51642400,"Storgata 52, 2870 Dokka","61.372612171520025, 5.151425671520026",,,,,,,2022-02-24 01:47:39.523915,00.00
1297,Knapphus Energi AS,0,90012099,"Robotvegen 6, 4340 Bryne","58.7333088, 5.6503503",,,,,,,2022-02-24 02:30:47.349365,00.00
1298,Jondig invest AS,0,94090550,"Vehus, 4715 Øvrebø","58.2929891, 7.7879267",,,,,,,2022-02-24 01:39:06.921160,00.00
1299,Sagvåg eiendom AS,0,0,"Sagvågsbrekko 15, 5410 Sagvåg","59.7813746, 5.389899",,,,,,,2022-02-24 01:39:34.145351,00.00
1300,Esso Hokksund - Deli de Luca,0,45103060,"Østre Brugate 3, 3303 Hokksund","59.7672653, 9.9107409",,,,,,,2022-02-24 01:47:39.523915,00.00
1301,Lier dekk og felg AS - Dekkpartner,0,94189451,"Gjellebekkstubben 21, 3420 Lierskogen","59.8197653, 10.3304905",,,,,,,2022-02-24 02:30:47.349365,00.00
1302,Cirkle K Sunndalsøra,0,0,"Sunndalsvegen 10, 6600 Sunndalsøra","62.6750314, 8.563095",,,,,,,2022-02-24 01:39:06.921160,00.00
1303,Lerbergkrysset AS,0,61111511,"Hennumveien 59, 3406 Tranby","59.8116017, 10.2675048",,,,,,,2022-02-24 01:39:06.921160,00.00
1304,Dokka Bilpleie AS,0,57733555,"Storgata 105, 2870 Dokka","61.3721864, 5.1509999",,,,,,,2022-02-24 01:39:34.145351,00.00
1305,AutoMarin AS Automester,0,78444900,"Askvollvegen 412, Sentrum, 6980 Askvoll","61.35374245, 4.679680639813811",,,,,,,2022-02-24 01:47:39.523915,00.00
1306,Pedersens Varmeservice AS,0,33003840,"Myggveien 14, 9514 Alta","70.04962755, 23.08254009804839",,,,,,,2022-02-24 02:30:47.349365,00.00
1307,Grøstad Bilverksted AS SjekkPunkt,0,33193810,"Hortensveien 120, 3157 Barkåker","59.3186085, 10.3899148",,,,,,,2022-02-24 01:39:06.921160,00.00
1308,Tjølling Autosenter AS SjekkPunkt,0,53428780,"Tjøllingveien 991, 3280 Tjodalyng","59.0560472, 10.1248333",,,,,,,2022-02-24 01:39:34.145351,00.00
1309,Auto service AS Automester,0,74143263,"Bremnesvegen 880, 5420 Rubbestadneset","59.8158346, 5.2701585",,,,,,,2022-02-24 01:47:39.523915,00.00
1310,Mittet Auto AS Automester,0,78484380,"Leiraplassan 12, 7710 Sparbu","63.9194026, 11.4366379",,,,,,,2022-02-24 02:30:47.349365,00.00
1311,Furulys Bilservice AS Automester,0,76113700,"Fievroluodda 3, 9522 Kautokeino","69.1325609, 23.57829982232755",,,,,,,2022-02-24 01:39:06.921160,00.00
1312,Esso Havna,0,38002300,"Havnegata 44, 8400 Sortland","68.70493180396075, 15.41403684707011",,,,,,,2022-02-24 01:39:34.145351,00.00
1313,Vågsbygd Bensin & Service AS SjekkPunkt,0,56550300,"Vågsbygd ringvei 90, 4621 Kristiansand S","58.16666602493518, 8.015687773800714",,,,,,,2022-02-24 01:47:39.523915,00.00
1314,Øystese Mek. Verkstad  MECA,0,56315510,"Lundanes 2, 5610 Øystese","60.385759, 6.198965",,,,,,,2022-02-24 02:30:47.349365,00.00
1315,Esso Ågotnes,0,0,"Bleivassvegen 2, 5347 Ågotnes","60.404943950408885, 5.0019684044094594",,,,,,,2022-02-24 01:39:06.921160,00.00
1316,Narvik Storsenter,0,70255999,"Kongens gate 66, 8514 Narvik","68.28988385, 17.086538711321808",,,,,,,2022-02-24 01:39:34.145351,00.00
1317,Grebstad Bil AS Mekonomen,0,77847109,"Kyrkjevegen 200, 6230 Sykkylven","62.3430581, 6.609036694668587",,,,,,,2022-02-24 01:47:39.523915,00.00
1318,Senja Autoservice  Superdekk,0,56356350,"Lysnesveien 89, 9372 Gibostad","69.3545091, 18.0764109",,,,,,,2022-02-24 02:30:47.349365,00.00
1319,Vaage Karosseri Bosch Car Service,0,61328613,"Osterfjordvegen 1220, 5913 Eikangervåg","60.6049826, 5.3983925",,,,,,,2022-02-24 01:39:06.921160,00.00
1320,Shell Lygnasæter d,0,52831089,"Lygnavegen, Lygnasæter, 2770 Jaren","60.455395185406, 10.644679378216347",,,,,,,2022-02-24 01:39:06.921160,00.00
1321,Oasen Storsenter,0,35077132,"Austbøvegen 16, 5542 Karmsund","59.3762342, 5.3000455",,,,,,,2022-02-24 01:39:34.145351,00.00
1322,Lio Auto AS Mekonomen,0,99370201,"Storvegen 229, 3880 Dalen","43.7165551, 17.2303272",,,,,,,2022-02-24 01:47:39.523915,00.00
1323,Stoklands AS,0,67544895,"Vestfjordveien, 8294 Hamarøy","67.9218459, 16.241584472892598",,,,,,,2022-02-24 02:30:47.349365,00.00
1324,Solvik Marina,0,95550900,"Sonja Henies vei 1, 1363 Høvik","32.7323223, -117.1522629",,,,,,,2022-02-24 01:39:06.921160,00.00
1325,Saltens Bilruter AS,0,90958500,"Stormyrveien 3, 8008 Bodø","67.2839476, 14.3825834",,,,,,,2022-02-24 01:39:34.145351,00.00
1326,Øksfjord Bilservice Viking redningstjeneste,0,95287762,"Strandveien 16, 9550 Øksfjord","70.2388023, 22.3499099",,,,,,,2022-02-24 01:47:39.523915,00.00
1327,Hødal AS,0,62454400,"Kalfaret 3, 1832 Askim","57.6341437, 11.9379446",,,,,,,2022-02-24 02:30:47.349365,00.00
1328,Trysilsenteret,0,22323090,"Stordalsvegen 2, 2420 Trysil","61.3561472, 12.36702596037586",,,,,,,2022-02-24 01:39:06.921160,00.00
1329,Trosterud servicesenter,0,66983100,"Tvetenveien 185, 0673 Oslo","59.9133301, 10.7389701",,,,,,,2022-02-24 01:39:34.145351,00.00
1330,Holmen Senter,0,97098030,"Vogellund 6, 1394 Nesbru","59.8660442, 10.4908847",,,,,,,2022-02-24 01:47:39.523915,00.00
1331,Vestby Storsenter,0,93933838,"Senterveien 6, 1543 Vestby","59.559856249999996, 10.711865345334502",,,,,,,2022-02-24 02:30:47.349365,00.00
1332,Alvdal Autoservice,0,0,"Nord-Østerdalsveien 5140, 2560 Alvdal","62.0965119, 10.50249213455308",,,,,,,2022-02-24 01:39:06.921160,00.00
1333,Re-torvet,0,23080000,"Kåpeveien 5, 3174 Revetal","59.3723954, 10.2631011",,,,,,,2022-02-24 01:39:34.145351,00.00
1334,Bjørneparken Shell Kjøpesenter,0,38090245,"Svingelie, 3539 Flå","60.43103284739268, 9.459303290360642",,,,,,,2022-02-24 01:47:39.523915,00.00
1335,Oddemarka Bilservice AS,0,37012985,"Østre ringvei 88, 4632 Kristiansand S","58.15969218306626, 8.019933651423083",,,,,,,2022-02-24 02:30:47.349365,00.00
1336,Alti Harebakken,0,55117400,"Langsæveien 5, 4846 Arendal","58.4596408, 8.7666023",,,,,,,2022-02-24 01:39:06.921160,00.00
1337,Lagunen Storsenter,0,55395030,"Laguneveien 1, 5239 Rådal","60.2924359, 5.3211289",,,,,,,2022-02-24 01:39:06.921160,00.00
1338,Øyrane Torg,0,53483070,"Ådnavegen 63, 5260 Indre Arna","59.89982995, 17.60107278606225",,,,,,,2022-02-24 01:39:34.145351,00.00
1339,Best Dimmelsvik,0,56530600,"Omvikdalsvegen 65, 5464 Dimmelsvik","59.95296388957651, 5.9773002895765055",,,,,,,2022-02-24 01:47:39.523915,00.00
1340,AMFI Voss,0,91693410,"Hardangervegen 25, 5705 Voss","60.6291046, 6.4101148",,,,,,,2022-02-24 02:30:47.349365,00.00
1341,Voss Gass AS,0,97009313,"Strandavegen 169, 5710 Skulestadmo","60.655922, 6.4365596",,,,,,,2022-02-24 01:39:06.921160,00.00
1342,Alti Rauma,0,71531243,"Øran Øst, 6300 Åndalsnes","62.5678096, 7.6891801",,,,,,,2022-02-24 01:39:34.145351,00.00
1343,Husby Bilverksted AS,0,57861313,"Prestgardsvegen 1, 6630 Tingvoll","62.9538733, 8.220096007931156",,,,,,,2022-02-24 01:47:39.523915,00.00
1344,Eid servicesenter AS,0,75682450,"Sjøgata 111, 6770 Nordfjordeid","61.9086826, 5.9932419",,,,,,,2022-02-24 02:30:47.349365,00.00
1345,Saltdal turistsenter,0,75773561,"Saltfjellveien 2033, 8255 Røkland","66.9840368, 15.3113162",,,,,,,2022-02-24 01:39:06.921160,00.00
1346,Drag Landhandel,0,76952166,"Drag, 8270 Drag","47.0352199, 23.3992046",,,,,,,2022-02-24 01:39:34.145351,00.00
1347,Storøs Auto AS,0,76938360,"Salomons vei 21, 8530 Bjerkvik","68.5497243, 17.5586049",,,,,,,2022-02-24 01:47:39.523915,00.00
1348,Bunnpris Ramsund,0,22153590,"Strandveien 50 A, 9442 Ramsund","68.4920774, 16.5183423",,,,,,,2022-02-24 02:30:47.349365,00.00
1349,Circle K Storo,0,22250834,"Vitaminveien 1, 0485 Oslo","59.946679529482594, 10.777888571713907",,,,,,,2022-02-24 01:39:06.921160,00.00
1350,Shell 7-Eleven dupl,0,67178410,"Østre Aker vei 214, 0976 Oslo","59.95540588595663, 10.887843209393026",,,,,,,2022-02-24 01:39:34.145351,00.00
1351,Normann Olsen Tilhenger AS,0,61311051,"Ringeriksveien 157, 1339 Vøyenenga","59.9084583, 10.4747556",,,,,,,2022-02-24 01:47:39.523915,00.00
1352,Rema 1000 Jevnaker,0,35947055,"Hønefossvegen 2, 3520 Jevnaker","60.28255445, 10.408457856495165",,,,,,,2022-02-24 02:30:47.349365,00.00
1353,Pit Stop Lunde AS,0,38042519,"Strengenvegen 33, 3825 Lunde","59.2988478, 9.101159",,,,,,,2022-02-24 01:39:06.921160,00.00
1354,Fire Security Drift AS,0,70092270,"Balchens vei 2, 4656 Hamresanden","58.1884698, 8.086038558153465",,,,,,,2022-02-24 01:39:34.145351,00.00
1355,Circle K Hareid,0,57653416,"Strandgata 143, 6060 Hareid","62.3598311, 6.03051058682474",,,,,,,2022-02-24 01:47:39.523915,00.00
1356,Esso Hermansverk servicesenter,0,72497350,"Sognefjordvegen 30, 6863 Leikanger","62.2469029, 5.7821023",,,,,,,2022-02-24 02:30:47.349365,00.00
1357,Coop Meldal SA,0,22101051,"Kvamsveien 10, 7336 Meldal","63.0470611, 9.712386",,,,,,,2022-02-24 01:39:06.921160,00.00
1358,Mekonomen Stovnerbrua Service Senter,0,90367010,"Stovnerveien 4, 0980 Oslo","59.94737425665543, 10.939141052860341",,,,,,,2022-02-24 01:39:06.921160,00.00
1359,Shell 7-Eleven Lambertseter,0,62429999,"Cecilie Thoresens vei 13, 1153 Oslo","59.87803707385616, 10.81121312418301",,,,,,,2022-02-24 01:39:34.145351,00.00
1360,Esso Våler,0,56387280,"Vålgutua 208, 2436 Våler i Solør","60.67486529769927, 11.832743416788901",,,,,,,2022-02-24 01:47:39.523915,00.00
1361,Blom Servicesenter  MECA,0,53742555,"Ternholmvegen, 5337 Rong","29.4455566, 104.4146513",,,,,,,2022-02-24 02:30:47.349365,00.00
1362,Haukås Dekk & Fritid AS,0,75171023,"Tittelsnesvegen 593, 5550 Sveio","59.61370615, 5.4117567089092296",,,,,,,2022-02-24 01:39:06.921160,00.00
1363,Shell 7-eleven Mosjøen,0,77838123,"Tordenskjolds gate 45, 8656 Mosjøen","65.8376537, 13.1943186",,,,,,,2022-02-24 01:39:34.145351,00.00
1364,Vårheim Jern & motor AS,0,53482070,"Takvassveien, 9334 Øverbygd","69.024347, 19.2963658",,,,,,,2022-02-24 01:47:39.523915,00.00
1365,Yx Sunde,0,61236033,"Reset, 5450 Sunde","59.83724433743999, 5.7483735381620615",,,,,,,2022-02-24 02:30:47.349365,00.00
1366,Sjoa mat og bensin Knut Granli,0,56526389,"Stasjonsvegen 14, 2670 Otta","61.7712098, 9.5394379",,,,,,,2022-02-24 01:39:06.921160,00.00
